14002: 2uniques | 2count | 7003sum
14003: 3uniques | 3count | 97sum
14004: 3uniques | 5count | 399sum
14005: 2uniques | 2count | 2806sum
14006: 3uniques | 3count | 198sum
14007: 4uniques | 4count | 62sum
14008: 3uniques | 5count | 126sum
14009: 1uniques | 1count | 0sum
14010: 4uniques | 4count | 477sum
14011: 1uniques | 1count | 0sum
14012: 3uniques | 4count | 148sum
14013: 2uniques | 5count | 185sum
14014: 4uniques | 5count | 40sum
14015: 2uniques | 2count | 2808sum
14016: 3uniques | 8count | 88sum
14017: 2uniques | 2count | 238sum
14018: 3uniques | 3count | 208sum
14019: 2uniques | 2count | 4676sum
14020: 3uniques | 4count | 710sum
14021: 2uniques | 2count | 2010sum
14022: 4uniques | 5count | 68sum
14023: 2uniques | 2count | 416sum
14024: 2uniques | 4count | 1759sum
14025: 4uniques | 5count | 41sum
14026: 2uniques | 2count | 7015sum
14027: 2uniques | 3count | 109sum
14028: 4uniques | 5count | 181sum
14029: 1uniques | 1count | 0sum
14030: 4uniques | 4count | 91sum
14031: 2uniques | 3count | 1565sum
14032: 2uniques | 5count | 885sum
14033: 1uniques | 1count | 0sum
14034: 3uniques | 3count | 2344sum
14035: 3uniques | 3count | 413sum
14036: 3uniques | 5count | 55sum
14037: 2uniques | 2count | 4682sum
14038: 2uniques | 2count | 7021sum
14039: 2uniques | 2count | 240sum
14040: 4uniques | 8count | 33sum
14041: 2uniques | 2count | 758sum
14042: 4uniques | 4count | 85sum
14043: 3uniques | 3count | 185sum
14044: 2uniques | 3count | 3515sum
14045: 2uniques | 3count | 111sum
14046: 3uniques | 3count | 2346sum
14047: 2uniques | 2count | 1288sum
14048: 2uniques | 6count | 449sum
14049: 3uniques | 4count | 236sum
14050: 3uniques | 4count | 293sum
14051: 1uniques | 1count | 0sum
14052: 3uniques | 4count | 1178sum
14053: 3uniques | 3count | 83sum
14054: 2uniques | 2count | 7029sum
14055: 3uniques | 3count | 945sum
14056: 3uniques | 5count | 264sum
14057: 1uniques | 1count | 0sum
14058: 4uniques | 5count | 90sum
14059: 2uniques | 2count | 844sum
14060: 4uniques | 5count | 65sum
14061: 3uniques | 3count | 155sum
14062: 3uniques | 3count | 170sum
14063: 2uniques | 4count | 62sum
14064: 3uniques | 6count | 304sum
14065: 3uniques | 3count | 131sum
14066: 3uniques | 3count | 556sum
14067: 2uniques | 4count | 530sum
14068: 2uniques | 3count | 3521sum
14069: 2uniques | 2count | 1290sum
14070: 5uniques | 5count | 84sum
14071: 1uniques | 1count | 0sum
14072: 2uniques | 4count | 1765sum
14073: 2uniques | 2count | 4694sum
14074: 3uniques | 3count | 260sum
14075: 2uniques | 3count | 573sum
14076: 4uniques | 6count | 50sum
14077: 2uniques | 2count | 2018sum
14078: 2uniques | 2count | 7041sum
14079: 3uniques | 4count | 54sum
14080: 3uniques | 10count | 32sum
14081: 1uniques | 1count | 0sum
14082: 3uniques | 3count | 2352sum
14083: 1uniques | 1count | 0sum
14084: 3uniques | 4count | 514sum
14085: 3uniques | 4count | 324sum
14086: 2uniques | 2count | 7045sum
14087: 1uniques | 1count | 0sum
14088: 3uniques | 5count | 596sum
14089: 2uniques | 2count | 266sum
14090: 3uniques | 3count | 1416sum
14091: 4uniques | 4count | 82sum
14092: 3uniques | 4count | 288sum
14093: 2uniques | 2count | 846sum
14094: 3uniques | 7count | 46sum
14095: 2uniques | 2count | 2824sum
14096: 2uniques | 5count | 889sum
14097: 3uniques | 3count | 167sum
14098: 4uniques | 4count | 81sum
14099: 2uniques | 2count | 636sum
14100: 4uniques | 6count | 64sum
14101: 2uniques | 2count | 298sum
14102: 3uniques | 3count | 654sum
14103: 2uniques | 3count | 1573sum
14104: 3uniques | 5count | 90sum
14105: 4uniques | 4count | 56sum
14106: 3uniques | 3count | 2356sum
14107: 1uniques | 1count | 0sum
14108: 2uniques | 3count | 3531sum
14109: 2uniques | 2count | 4706sum
14110: 4uniques | 4count | 107sum
14111: 2uniques | 2count | 240sum
14112: 3uniques | 9count | 30sum
14113: 2uniques | 2count | 1294sum
14114: 2uniques | 2count | 7059sum
14115: 3uniques | 3count | 949sum
14116: 2uniques | 3count | 3533sum
14117: 2uniques | 2count | 762sum
14118: 4uniques | 4count | 199sum
14119: 2uniques | 2count | 2024sum
14120: 3uniques | 5count | 364sum
14121: 2uniques | 4count | 532sum
14122: 3uniques | 3count | 332sum
14123: 2uniques | 2count | 516sum
14124: 4uniques | 5count | 125sum
14125: 2uniques | 4count | 128sum
14126: 3uniques | 3count | 1018sum
14127: 3uniques | 3count | 297sum
14128: 2uniques | 5count | 891sum
14129: 2uniques | 2count | 270sum
14130: 4uniques | 5count | 170sum
14131: 2uniques | 2count | 1100sum
14132: 2uniques | 3count | 3537sum
14133: 3uniques | 3count | 683sum
14134: 3uniques | 3count | 230sum
14135: 3uniques | 3count | 273sum
14136: 4uniques | 6count | 59sum
14137: 2uniques | 2count | 278sum
14138: 2uniques | 2count | 7071sum
14139: 2uniques | 3count | 1577sum
14140: 4uniques | 5count | 117sum
14141: 2uniques | 2count | 258sum
14142: 3uniques | 3count | 2362sum
14143: 1uniques | 1count | 0sum
14144: 3uniques | 8count | 42sum
14145: 4uniques | 4count | 72sum
14146: 3uniques | 3count | 656sum
14147: 3uniques | 3count | 97sum
14148: 3uniques | 6count | 144sum
14149: 1uniques | 1count | 0sum
14150: 3uniques | 4count | 295sum
14151: 3uniques | 3count | 145sum
14152: 3uniques | 5count | 96sum
14153: 1uniques | 1count | 0sum
14154: 4uniques | 4count | 349sum
14155: 3uniques | 3count | 173sum
14156: 2uniques | 3count | 3543sum
14157: 3uniques | 5count | 41sum
14158: 2uniques | 2count | 7081sum
14159: 1uniques | 1count | 0sum
14160: 4uniques | 7count | 75sum
14161: 2uniques | 4count | 48sum
14162: 3uniques | 3count | 172sum
14163: 2uniques | 2count | 4724sum
14164: 2uniques | 3count | 3545sum
14165: 2uniques | 2count | 2838sum
14166: 3uniques | 4count | 795sum
14167: 2uniques | 2count | 488sum
14168: 4uniques | 6count | 47sum
14169: 2uniques | 2count | 4726sum
14170: 4uniques | 4count | 129sum
14171: 2uniques | 2count | 420sum
14172: 3uniques | 4count | 1188sum
14173: 1uniques | 1count | 0sum
14174: 3uniques | 3count | 394sum
14175: 3uniques | 7count | 29sum
14176: 2uniques | 6count | 453sum
14177: 1uniques | 1count | 0sum
14178: 4uniques | 4count | 161sum
14179: 2uniques | 2count | 1300sum
14180: 3uniques | 4count | 718sum
14181: 3uniques | 3count | 195sum
14182: 3uniques | 3count | 1022sum
14183: 2uniques | 2count | 1104sum
14184: 3uniques | 6count | 209sum
14185: 2uniques | 2count | 2842sum
14186: 3uniques | 3count | 216sum
14187: 2uniques | 2count | 4732sum
14188: 2uniques | 3count | 3551sum
14189: 2uniques | 2count | 2034sum
14190: 5uniques | 5count | 64sum
14191: 2uniques | 2count | 640sum
14192: 2uniques | 5count | 895sum
14193: 3uniques | 4count | 108sum
14194: 3uniques | 3count | 200sum
14195: 3uniques | 3count | 189sum
14196: 4uniques | 6count | 40sum
14197: 1uniques | 1count | 0sum
14198: 3uniques | 3count | 262sum
14199: 2uniques | 2count | 4736sum
14200: 3uniques | 6count | 87sum
14201: 2uniques | 2count | 1302sum
14202: 3uniques | 5count | 274sum
14203: 2uniques | 2count | 2036sum
14204: 3uniques | 4count | 124sum
14205: 3uniques | 3count | 955sum
