2: 1count | 1sum
3: 1count | 1sum
4: 1count | 2sum
5: 1count | 1sum
6: 2count | 2sum
7: 1count | 1sum
8: 1count | 3sum
9: 1count | 2sum
10: 2count | 2sum
11: 1count | 1sum
12: 2count | 3sum
13: 1count | 1sum
14: 2count | 2sum
15: 2count | 2sum
16: 1count | 4sum
17: 1count | 1sum
18: 2count | 3sum
19: 1count | 1sum
20: 2count | 3sum
21: 2count | 2sum
22: 2count | 2sum
23: 1count | 1sum
24: 2count | 4sum
25: 1count | 2sum
26: 2count | 2sum
27: 1count | 3sum
28: 2count | 3sum
29: 1count | 1sum
30: 3count | 3sum
31: 1count | 1sum
32: 1count | 5sum
33: 2count | 2sum
34: 2count | 2sum
35: 2count | 2sum
36: 2count | 4sum
37: 1count | 1sum
38: 2count | 2sum
39: 2count | 2sum
40: 2count | 4sum
41: 1count | 1sum
42: 3count | 3sum
43: 1count | 1sum
44: 2count | 3sum
45: 2count | 3sum
46: 2count | 2sum
47: 1count | 1sum
48: 2count | 5sum
49: 1count | 2sum
50: 2count | 3sum
51: 2count | 2sum
52: 2count | 3sum
53: 1count | 1sum
54: 2count | 4sum
55: 2count | 2sum
56: 2count | 4sum
57: 2count | 2sum
58: 2count | 2sum
59: 1count | 1sum
60: 3count | 4sum
61: 1count | 1sum
62: 2count | 2sum
63: 2count | 3sum
64: 1count | 6sum
65: 2count | 2sum
66: 3count | 3sum
67: 1count | 1sum
68: 2count | 3sum
69: 2count | 2sum
70: 3count | 3sum
71: 1count | 1sum
72: 2count | 5sum
73: 1count | 1sum
74: 2count | 2sum
75: 2count | 3sum
76: 2count | 3sum
77: 2count | 2sum
78: 3count | 3sum
79: 1count | 1sum
80: 2count | 5sum
81: 1count | 4sum
82: 2count | 2sum
83: 1count | 1sum
84: 3count | 4sum
85: 2count | 2sum
86: 2count | 2sum
87: 2count | 2sum
88: 2count | 4sum
89: 1count | 1sum
90: 3count | 4sum
91: 2count | 2sum
92: 2count | 3sum
93: 2count | 2sum
94: 2count | 2sum
95: 2count | 2sum
96: 2count | 6sum
97: 1count | 1sum
98: 2count | 3sum
99: 2count | 3sum
100: 2count | 4sum
101: 1count | 1sum
102: 3count | 3sum
103: 1count | 1sum
104: 2count | 4sum
105: 3count | 3sum
106: 2count | 2sum
107: 1count | 1sum
108: 2count | 5sum
109: 1count | 1sum
110: 3count | 3sum
111: 2count | 2sum
112: 2count | 5sum
113: 1count | 1sum
114: 3count | 3sum
115: 2count | 2sum
116: 2count | 3sum
117: 2count | 3sum
118: 2count | 2sum
119: 2count | 2sum
120: 3count | 5sum
121: 1count | 2sum
122: 2count | 2sum
123: 2count | 2sum
124: 2count | 3sum
125: 1count | 3sum
126: 3count | 4sum
127: 1count | 1sum
128: 1count | 7sum
129: 2count | 2sum
130: 3count | 3sum
131: 1count | 1sum
132: 3count | 4sum
133: 2count | 2sum
134: 2count | 2sum
135: 2count | 4sum
136: 2count | 4sum
137: 1count | 1sum
138: 3count | 3sum
139: 1count | 1sum
140: 3count | 4sum
141: 2count | 2sum
142: 2count | 2sum
143: 2count | 2sum
144: 2count | 6sum
145: 2count | 2sum
146: 2count | 2sum
147: 2count | 3sum
148: 2count | 3sum
149: 1count | 1sum
150: 3count | 4sum
151: 1count | 1sum
152: 2count | 4sum
153: 2count | 3sum
154: 3count | 3sum
155: 2count | 2sum
156: 3count | 4sum
157: 1count | 1sum
158: 2count | 2sum
159: 2count | 2sum
160: 2count | 6sum
161: 2count | 2sum
162: 2count | 5sum
163: 1count | 1sum
164: 2count | 3sum
165: 3count | 3sum
166: 2count | 2sum
167: 1count | 1sum
168: 3count | 5sum
169: 1count | 2sum
170: 3count | 3sum
171: 2count | 3sum
172: 2count | 3sum
173: 1count | 1sum
174: 3count | 3sum
175: 2count | 3sum
176: 2count | 5sum
177: 2count | 2sum
178: 2count | 2sum
179: 1count | 1sum
180: 3count | 5sum
181: 1count | 1sum
182: 3count | 3sum
183: 2count | 2sum
184: 2count | 4sum
185: 2count | 2sum
186: 3count | 3sum
187: 2count | 2sum
188: 2count | 3sum
189: 2count | 4sum
190: 3count | 3sum
191: 1count | 1sum
192: 2count | 7sum
193: 1count | 1sum
194: 2count | 2sum
195: 3count | 3sum
196: 2count | 4sum
197: 1count | 1sum
198: 3count | 4sum
199: 1count | 1sum
200: 2count | 5sum
201: 2count | 2sum
202: 2count | 2sum
203: 2count | 2sum
204: 3count | 4sum
205: 2count | 2sum
206: 2count | 2sum
207: 2count | 3sum
208: 2count | 5sum
209: 2count | 2sum
210: 4count | 4sum
211: 1count | 1sum
212: 2count | 3sum
213: 2count | 2sum
214: 2count | 2sum
215: 2count | 2sum
216: 2count | 6sum
217: 2count | 2sum
218: 2count | 2sum
219: 2count | 2sum
220: 3count | 4sum
221: 2count | 2sum
222: 3count | 3sum
223: 1count | 1sum
224: 2count | 6sum
225: 2count | 4sum
226: 2count | 2sum
227: 1count | 1sum
228: 3count | 4sum
229: 1count | 1sum
230: 3count | 3sum
231: 3count | 3sum
232: 2count | 4sum
233: 1count | 1sum
234: 3count | 4sum
235: 2count | 2sum
236: 2count | 3sum
237: 2count | 2sum
238: 3count | 3sum
239: 1count | 1sum
240: 3count | 6sum
241: 1count | 1sum
242: 2count | 3sum
243: 1count | 5sum
244: 2count | 3sum
245: 2count | 3sum
246: 3count | 3sum
247: 2count | 2sum
248: 2count | 4sum
249: 2count | 2sum
250: 2count | 4sum
251: 1count | 1sum
252: 3count | 5sum
253: 2count | 2sum
254: 2count | 2sum
255: 3count | 3sum
256: 1count | 8sum
257: 1count | 1sum
258: 3count | 3sum
259: 2count | 2sum
260: 3count | 4sum
261: 2count | 3sum
262: 2count | 2sum
263: 1count | 1sum
264: 3count | 5sum
265: 2count | 2sum
266: 3count | 3sum
267: 2count | 2sum
268: 2count | 3sum
269: 1count | 1sum
270: 3count | 5sum
271: 1count | 1sum
272: 2count | 5sum
273: 3count | 3sum
274: 2count | 2sum
275: 2count | 3sum
276: 3count | 4sum
277: 1count | 1sum
278: 2count | 2sum
279: 2count | 3sum
280: 3count | 5sum
281: 1count | 1sum
282: 3count | 3sum
283: 1count | 1sum
284: 2count | 3sum
285: 3count | 3sum
286: 3count | 3sum
287: 2count | 2sum
288: 2count | 7sum
289: 1count | 2sum
290: 3count | 3sum
291: 2count | 2sum
292: 2count | 3sum
293: 1count | 1sum
294: 3count | 4sum
295: 2count | 2sum
296: 2count | 4sum
297: 2count | 4sum
298: 2count | 2sum
299: 2count | 2sum
300: 3count | 5sum
301: 2count | 2sum
302: 2count | 2sum
303: 2count | 2sum
304: 2count | 5sum
305: 2count | 2sum
306: 3count | 4sum
307: 1count | 1sum
308: 3count | 4sum
309: 2count | 2sum
310: 3count | 3sum
311: 1count | 1sum
312: 3count | 5sum
313: 1count | 1sum
314: 2count | 2sum
315: 3count | 4sum
316: 2count | 3sum
317: 1count | 1sum
318: 3count | 3sum
319: 2count | 2sum
320: 2count | 7sum
321: 2count | 2sum
322: 3count | 3sum
323: 2count | 2sum
324: 2count | 6sum
325: 2count | 3sum
326: 2count | 2sum
327: 2count | 2sum
328: 2count | 4sum
329: 2count | 2sum
330: 4count | 4sum
331: 1count | 1sum
332: 2count | 3sum
333: 2count | 3sum
334: 2count | 2sum
335: 2count | 2sum
336: 3count | 6sum
337: 1count | 1sum
338: 2count | 3sum
339: 2count | 2sum
340: 3count | 4sum
341: 2count | 2sum
342: 3count | 4sum
343: 1count | 3sum
344: 2count | 4sum
345: 3count | 3sum
346: 2count | 2sum
347: 1count | 1sum
348: 3count | 4sum
349: 1count | 1sum
350: 3count | 4sum
351: 2count | 4sum
352: 2count | 6sum
353: 1count | 1sum
354: 3count | 3sum
355: 2count | 2sum
356: 2count | 3sum
