135001: 2unique | 2count | 1190sum
135005: 4unique | 4count | 116sum
135006: 3unique | 3count | 22506sum
135007: 1unique | 1count | 135007sum
135011: 2unique | 2count | 1788sum
135012: 3unique | 4count | 11258sum
135013: 3unique | 3count | 167sum
135017: 1unique | 1count | 135017sum
135018: 4unique | 5count | 598sum
135019: 1unique | 1count | 135019sum
135023: 2unique | 2count | 19296sum
135024: 4unique | 7count | 137sum
135025: 3unique | 4count | 512sum
135029: 1unique | 1count | 135029sum
135030: 5unique | 5count | 660sum
135031: 3unique | 4count | 90sum
135035: 3unique | 3count | 357sum
135036: 4unique | 7count | 63sum
135037: 3unique | 3count | 299sum
135041: 2unique | 2count | 1710sum
135042: 4unique | 4count | 393sum
135043: 1unique | 1count | 135043sum
135047: 2unique | 2count | 12288sum
135048: 4unique | 6count | 357sum
135049: 1unique | 1count | 135049sum
135053: 2unique | 2count | 4686sum
135054: 4unique | 6count | 113sum
135055: 2unique | 2count | 27016sum
135059: 1unique | 1count | 135059sum
135060: 4unique | 5count | 2263sum
135061: 2unique | 2count | 1162sum
135065: 4unique | 4count | 256sum
135066: 3unique | 3count | 22516sum
135067: 2unique | 2count | 4388sum
135071: 2unique | 2count | 7128sum
135072: 4unique | 9count | 90sum
135073: 2unique | 2count | 754sum
135077: 1unique | 1count | 135077sum
135078: 4unique | 4count | 531sum
135079: 3unique | 3count | 869sum
135083: 2unique | 2count | 10404sum
135084: 3unique | 4count | 11264sum
135085: 2unique | 2count | 27022sum
135089: 1unique | 1count | 135089sum
135090: 5unique | 6count | 111sum
135091: 2unique | 2count | 12292sum
135095: 3unique | 3count | 705sum
135096: 4unique | 6count | 455sum
135097: 2unique | 2count | 2602sum
135101: 1unique | 1count | 135101sum
135102: 5unique | 5count | 128sum
135103: 2unique | 2count | 976sum
135107: 2unique | 2count | 19308sum
135108: 3unique | 8count | 158sum
135109: 3unique | 3count | 579sum
135113: 3unique | 3count | 255sum
135114: 4unique | 4count | 3229sum
135115: 3unique | 3count | 509sum
135119: 1unique | 1count | 135119sum
135120: 4unique | 7count | 579sum
135121: 3unique | 3count | 303sum
135125: 3unique | 5count | 85sum
135126: 3unique | 4count | 7515sum
135127: 2unique | 2count | 992sum
135131: 1unique | 1count | 135131sum
135132: 3unique | 4count | 11268sum
135133: 2unique | 2count | 7966sum
135137: 2unique | 2count | 738sum
135138: 4unique | 4count | 329sum
135139: 2unique | 2count | 2084sum
135143: 2unique | 2count | 1056sum
135144: 3unique | 6count | 1889sum
135145: 3unique | 3count | 335sum
135149: 3unique | 3count | 499sum
135150: 5unique | 6count | 85sum
135151: 1unique | 1count | 135151sum
135155: 2unique | 2count | 27036sum
135156: 4unique | 5count | 1623sum
135157: 2unique | 3count | 1139sum
135161: 3unique | 3count | 331sum
135162: 3unique | 5count | 2514sum
135163: 2unique | 2count | 19316sum
135167: 2unique | 2count | 7968sum
135168: 3unique | 14count | 38sum
135169: 3unique | 3count | 167sum
135173: 1unique | 1count | 135173sum
135174: 4unique | 4count | 1751sum
135175: 2unique | 3count | 5417sum
135179: 2unique | 2count | 12300sum
135180: 4unique | 6count | 766sum
135181: 1unique | 1count | 135181sum
135185: 3unique | 3count | 1447sum
135186: 3unique | 3count | 22536sum
135187: 2unique | 2count | 10412sum
135191: 3unique | 4count | 134sum
135192: 4unique | 6count | 183sum
135193: 1unique | 1count | 135193sum
135197: 1unique | 1count | 135197sum
135198: 5unique | 6count | 81sum
135199: 2unique | 2count | 736sum
135203: 2unique | 2count | 2604sum
135204: 4unique | 5count | 619sum
135205: 3unique | 3count | 3875sum
135209: 1unique | 1count | 135209sum
135210: 4unique | 4count | 4517sum
135211: 1unique | 1count | 135211sum
135215: 2unique | 2count | 27048sum
135216: 3unique | 8count | 330sum
135217: 2unique | 2count | 5902sum
135221: 1unique | 1count | 135221sum
135222: 4unique | 4count | 763sum
135223: 3unique | 3count | 677sum
135227: 2unique | 2count | 4692sum
135228: 4unique | 5count | 257sum
135229: 2unique | 2count | 770sum
135233: 2unique | 2count | 19326sum
135234: 4unique | 5count | 702sum
135235: 4unique | 4count | 102sum
135239: 3unique | 3count | 217sum
135240: 5unique | 8count | 51sum
135241: 1unique | 1count | 135241sum
135245: 3unique | 3count | 2475sum
135246: 3unique | 3count | 22546sum
135247: 2unique | 3count | 285sum
135251: 2unique | 2count | 852sum
135252: 4unique | 7count | 57sum
135253: 2unique | 2count | 4394sum
135257: 1unique | 1count | 135257sum
135258: 3unique | 3count | 22548sum
135259: 2unique | 2count | 3340sum
135263: 2unique | 2count | 5904sum
135264: 3unique | 7count | 1422sum
135265: 3unique | 3count | 2099sum
135269: 3unique | 3count | 199sum
135270: 4unique | 7count | 186sum
135271: 1unique | 1count | 135271sum
135275: 3unique | 4count | 790sum
135276: 3unique | 4count | 11280sum
135277: 1unique | 1count | 135277sum
135281: 1unique | 1count | 135281sum
135282: 4unique | 4count | 3233sum
135283: 1unique | 1count | 135283sum
135287: 2unique | 2count | 2352sum
135288: 3unique | 6count | 1891sum
135289: 3unique | 4count | 276sum
135293: 2unique | 2count | 894sum
135294: 3unique | 3count | 22554sum
135295: 2unique | 2count | 27064sum
135299: 2unique | 2count | 7140sum
135300: 5unique | 7count | 69sum
135301: 1unique | 1count | 135301sum
135305: 2unique | 2count | 27066sum
135306: 3unique | 4count | 7525sum
135307: 2unique | 2count | 772sum
135311: 2unique | 2count | 12312sum
135312: 3unique | 6count | 2830sum
135313: 2unique | 2count | 2926sum
135317: 3unique | 3count | 1507sum
135318: 4unique | 4count | 1211sum
135319: 1unique | 1count | 135319sum
135323: 2unique | 2count | 1164sum
135324: 4unique | 7count | 199sum
135325: 2unique | 3count | 5423sum
135329: 1unique | 1count | 135329sum
135330: 5unique | 5count | 370sum
135331: 2unique | 2count | 19340sum
135335: 2unique | 2count | 27072sum
135336: 3unique | 5count | 5648sum
135337: 3unique | 3count | 455sum
135341: 2unique | 2count | 3342sum
135342: 4unique | 5count | 184sum
135343: 3unique | 3count | 401sum
135347: 1unique | 1count | 135347sum
135348: 3unique | 4count | 11286sum
135349: 1unique | 1count | 135349sum
135353: 1unique | 1count | 135353sum
135354: 4unique | 4count | 1349sum
135355: 4unique | 4count | 146sum
135359: 3unique | 3count | 385sum
135360: 4unique | 10count | 70sum
135361: 2unique | 2count | 830sum
135365: 2unique | 2count | 27078sum
135366: 5unique | 5count | 316sum
135367: 1unique | 1count | 135367sum
135371: 2unique | 2count | 7980sum
135372: 4unique | 5count | 425sum
135373: 3unique | 3count | 323sum
135377: 3unique | 3count | 439sum
135378: 4unique | 6count | 143sum
135379: 2unique | 2count | 740sum
135383: 2unique | 2count | 3696sum
135384: 3unique | 5count | 5650sum
135385: 2unique | 2count | 27082sum
135389: 1unique | 1count | 135389sum
135390: 4unique | 4count | 4523sum
135391: 1unique | 1count | 135391sum
135395: 3unique | 3count | 2101sum
135396: 3unique | 5count | 3771sum
135397: 2unique | 2count | 1978sum
135401: 3unique | 4count | 88sum
135402: 3unique | 3count | 22572sum
135403: 1unique | 1count | 135403sum
135407: 3unique | 3count | 157sum
135408: 5unique | 8count | 62sum
135409: 1unique | 1count | 135409sum
135413: 2unique | 2count | 7146sum
135414: 3unique | 4count | 7531sum
135415: 4unique | 4count | 138sum
135419: 2unique | 2count | 900sum
135420: 5unique | 6count | 110sum
135421: 3unique | 3count | 971sum
135425: 2unique | 3count | 5427sum
135426: 3unique | 3count | 22576sum
