20002: 3uniques | 3count | 212sum
20003: 2uniques | 2count | 324sum
20004: 3uniques | 4count | 1674sum
20005: 2uniques | 2count | 4006sum
20006: 3uniques | 3count | 1438sum
20007: 3uniques | 6count | 44sum
20008: 3uniques | 5count | 108sum
20009: 3uniques | 3count | 135sum
20010: 5uniques | 5count | 62sum
20011: 1uniques | 1count | 0sum
20012: 2uniques | 3count | 5007sum
20013: 3uniques | 3count | 963sum
20014: 2uniques | 2count | 10009sum
20015: 2uniques | 2count | 4008sum
20016: 3uniques | 7count | 153sum
20017: 2uniques | 2count | 578sum
20018: 2uniques | 2count | 10011sum
20019: 2uniques | 2count | 6676sum
20020: 5uniques | 6count | 40sum
20021: 1uniques | 1count | 0sum
20022: 4uniques | 4count | 123sum
20023: 1uniques | 1count | 0sum
20024: 2uniques | 4count | 2509sum
20025: 3uniques | 5count | 105sum
20026: 4uniques | 4count | 69sum
20027: 2uniques | 2count | 2868sum
20028: 3uniques | 4count | 1676sum
20029: 1uniques | 1count | 0sum
20030: 3uniques | 3count | 2010sum
20031: 3uniques | 3count | 621sum
20032: 2uniques | 7count | 325sum
20033: 3uniques | 3count | 103sum
20034: 4uniques | 6count | 71sum
20035: 2uniques | 2count | 4012sum
20036: 2uniques | 3count | 5013sum
20037: 2uniques | 2count | 6682sum
20038: 3uniques | 3count | 278sum
20039: 2uniques | 2count | 720sum
20040: 4uniques | 6count | 181sum
20041: 2uniques | 3count | 423sum
20042: 3uniques | 3count | 924sum
20043: 3uniques | 4count | 154sum
20044: 2uniques | 3count | 5015sum
20045: 3uniques | 3count | 235sum
20046: 4uniques | 4count | 275sum
20047: 1uniques | 1count | 0sum
20048: 3uniques | 6count | 194sum
20049: 3uniques | 3count | 207sum
20050: 3uniques | 4count | 413sum
20051: 1uniques | 1count | 0sum
20052: 3uniques | 5count | 567sum
20053: 2uniques | 2count | 1834sum
20054: 3uniques | 3count | 310sum
20055: 4uniques | 4count | 206sum
20056: 3uniques | 5count | 138sum
20057: 2uniques | 2count | 678sum
20058: 3uniques | 3count | 3348sum
20059: 2uniques | 2count | 1556sum
20060: 4uniques | 5count | 85sum
20061: 2uniques | 4count | 752sum
20062: 3uniques | 3count | 1442sum
20063: 1uniques | 1count | 0sum
20064: 4uniques | 8count | 43sum
20065: 2uniques | 2count | 4018sum
20066: 3uniques | 3count | 208sum
20067: 2uniques | 2count | 6692sum
20068: 3uniques | 4count | 206sum
20069: 3uniques | 3count | 115sum
20070: 4uniques | 5count | 236sum
20071: 1uniques | 1count | 0sum
20072: 3uniques | 5count | 212sum
20073: 2uniques | 2count | 6694sum
20074: 2uniques | 2count | 10039sum
20075: 3uniques | 4count | 94sum
20076: 4uniques | 5count | 253sum
20077: 2uniques | 2count | 1198sum
20078: 2uniques | 2count | 10041sum
20079: 3uniques | 4count | 126sum
20080: 3uniques | 6count | 264sum
20081: 2uniques | 2count | 510sum
20082: 3uniques | 3count | 3352sum
20083: 3uniques | 3count | 177sum
20084: 2uniques | 3count | 5025sum
20085: 4uniques | 4count | 124sum
20086: 3uniques | 4count | 107sum
20087: 2uniques | 2count | 432sum
20088: 3uniques | 8count | 49sum
20089: 1uniques | 1count | 0sum
20090: 4uniques | 5count | 62sum
20091: 3uniques | 3count | 221sum
20092: 2uniques | 3count | 5027sum
20093: 2uniques | 2count | 354sum
20094: 4uniques | 4count | 219sum
20095: 2uniques | 2count | 4024sum
20096: 2uniques | 8count | 171sum
20097: 4uniques | 5count | 53sum
20098: 3uniques | 3count | 788sum
20099: 2uniques | 2count | 300sum
20100: 4uniques | 6count | 84sum
20101: 1uniques | 1count | 0sum
20102: 3uniques | 4count | 67sum
20103: 2uniques | 2count | 6704sum
20104: 3uniques | 5count | 372sum
20105: 2uniques | 2count | 4026sum
20106: 3uniques | 4count | 1125sum
20107: 1uniques | 1count | 0sum
20108: 3uniques | 4count | 472sum
20109: 2uniques | 2count | 6706sum
20110: 3uniques | 3count | 2018sum
20111: 3uniques | 4count | 50sum
20112: 3uniques | 6count | 430sum
20113: 1uniques | 1count | 0sum
20114: 3uniques | 3count | 204sum
20115: 3uniques | 5count | 163sum
20116: 3uniques | 4count | 158sum
20117: 1uniques | 1count | 0sum
20118: 4uniques | 4count | 491sum
20119: 3uniques | 3count | 101sum
20120: 3uniques | 5count | 514sum
20121: 3uniques | 3count | 375sum
20122: 2uniques | 2count | 10063sum
20123: 1uniques | 1count | 0sum
20124: 4uniques | 6count | 66sum
20125: 3uniques | 5count | 45sum
20126: 3uniques | 3count | 378sum
20127: 2uniques | 2count | 6712sum
20128: 3uniques | 7count | 64sum
20129: 1uniques | 1count | 0sum
20130: 5uniques | 5count | 82sum
20131: 2uniques | 2count | 532sum
20132: 3uniques | 4count | 730sum
20133: 2uniques | 3count | 2243sum
20134: 2uniques | 2count | 10069sum
20135: 2uniques | 2count | 4032sum
20136: 3uniques | 5count | 848sum
20137: 2uniques | 2count | 1562sum
20138: 2uniques | 2count | 10071sum
