75001: 2unique | 2count | 598sum
75005: 3unique | 3count | 2155sum
75006: 3unique | 6count | 477sum
75007: 2unique | 2count | 808sum
75011: 1unique | 1count | 75011sum
75012: 5unique | 6count | 80sum
75013: 1unique | 1count | 75013sum
75017: 1unique | 1count | 75017sum
75018: 3unique | 3count | 12508sum
75019: 2unique | 3count | 1545sum
75023: 3unique | 3count | 241sum
75024: 3unique | 7count | 535sum
75025: 2unique | 3count | 3011sum
75029: 1unique | 1count | 75029sum
75030: 5unique | 5count | 112sum
75031: 3unique | 3count | 389sum
75035: 3unique | 3count | 397sum
75036: 4unique | 6count | 70sum
75037: 1unique | 1count | 75037sum
75041: 1unique | 1count | 75041sum
75042: 4unique | 5count | 398sum
75043: 2unique | 2count | 844sum
75047: 3unique | 3count | 229sum
75048: 4unique | 6count | 121sum
75049: 3unique | 3count | 287sum
75053: 2unique | 2count | 6834sum
75054: 4unique | 4count | 1799sum
75055: 3unique | 3count | 905sum
75059: 2unique | 2count | 1644sum
75060: 4unique | 7count | 157sum
75061: 2unique | 2count | 10730sum
75065: 2unique | 2count | 15018sum
75066: 3unique | 3count | 12516sum
75067: 2unique | 2count | 548sum
75071: 2unique | 2count | 1872sum
75072: 4unique | 9count | 55sum
75073: 2unique | 2count | 2066sum
75077: 2unique | 2count | 582sum
75078: 4unique | 5count | 148sum
75079: 1unique | 1count | 75079sum
75083: 1unique | 1count | 75083sum
75084: 3unique | 4count | 6264sum
75085: 2unique | 2count | 15022sum
75089: 3unique | 3count | 655sum
75090: 4unique | 4count | 2513sum
75091: 2unique | 2count | 1292sum
75095: 3unique | 3count | 681sum
75096: 4unique | 7count | 168sum
75097: 2unique | 2count | 6838sum
75101: 3unique | 3count | 175sum
75102: 3unique | 3count | 12522sum
75103: 2unique | 2count | 10736sum
75107: 3unique | 3count | 145sum
75108: 4unique | 5count | 587sum
75109: 1unique | 1count | 75109sum
75113: 2unique | 2count | 2454sum
75114: 4unique | 6count | 131sum
75115: 3unique | 3count | 269sum
75119: 2unique | 2count | 6840sum
75120: 4unique | 7count | 329sum
75121: 2unique | 2count | 1790sum
75125: 2unique | 4count | 616sum
75126: 4unique | 4count | 683sum
75127: 2unique | 2count | 5792sum
75131: 2unique | 2count | 10740sum
75132: 3unique | 5count | 2097sum
75133: 1unique | 1count | 75133sum
75137: 2unique | 2count | 558sum
75138: 4unique | 4count | 1801sum
75139: 2unique | 2count | 2620sum
75143: 2unique | 2count | 624sum
75144: 4unique | 6count | 141sum
75145: 4unique | 4count | 144sum
75149: 1unique | 1count | 75149sum
75150: 4unique | 6count | 185sum
75151: 2unique | 2count | 560sum
75155: 2unique | 2count | 15036sum
75156: 3unique | 4count | 6270sum
75157: 2unique | 2count | 4438sum
75161: 1unique | 1count | 75161sum
75162: 3unique | 3count | 12532sum
75163: 2unique | 2count | 6844sum
75167: 1unique | 1count | 75167sum
75168: 3unique | 10count | 51sum
75169: 1unique | 1count | 75169sum
75173: 2unique | 2count | 10746sum
75174: 5unique | 5count | 100sum
75175: 3unique | 4count | 138sum
75179: 2unique | 2count | 5796sum
75180: 5unique | 6count | 198sum
75181: 1unique | 1count | 75181sum
75185: 3unique | 3count | 1383sum
75186: 3unique | 4count | 4185sum
75187: 3unique | 3count | 497sum
75191: 2unique | 2count | 4440sum
75192: 4unique | 6count | 263sum
75193: 1unique | 1count | 75193sum
75197: 2unique | 2count | 2622sum
75198: 4unique | 4count | 239sum
75199: 2unique | 2count | 680sum
75203: 2unique | 2count | 636sum
75204: 3unique | 5count | 2099sum
75205: 3unique | 4count | 120sum
75209: 1unique | 1count | 75209sum
75210: 5unique | 5count | 142sum
75211: 1unique | 1count | 75211sum
75215: 3unique | 4count | 326sum
75216: 3unique | 6count | 1578sum
75217: 1unique | 1count | 75217sum
75221: 3unique | 3count | 163sum
75222: 4unique | 6count | 217sum
75223: 1unique | 1count | 75223sum
75227: 1unique | 1count | 75227sum
75228: 3unique | 4count | 6276sum
75229: 3unique | 3count | 995sum
75233: 2unique | 2count | 3294sum
75234: 3unique | 3count | 12544sum
75235: 3unique | 3count | 413sum
75239: 1unique | 1count | 75239sum
75240: 5unique | 8count | 47sum
75241: 2unique | 2count | 1190sum
75245: 3unique | 3count | 255sum
75246: 3unique | 3count | 12546sum
75247: 2unique | 2count | 1648sum
75251: 2unique | 2count | 6852sum
75252: 3unique | 4count | 6278sum
75253: 1unique | 1count | 75253sum
75257: 3unique | 3count | 847sum
75258: 4unique | 5count | 158sum
75259: 3unique | 3count | 269sum
75263: 2unique | 2count | 1104sum
75264: 3unique | 12count | 35sum
75265: 2unique | 2count | 15058sum
75269: 1unique | 1count | 75269sum
75270: 5unique | 5count | 216sum
75271: 2unique | 2count | 10760sum
75275: 2unique | 3count | 3021sum
75276: 4unique | 7count | 71sum
75277: 1unique | 1count | 75277sum
75281: 2unique | 2count | 990sum
75282: 3unique | 3count | 12552sum
75283: 2unique | 2count | 5804sum
75287: 2unique | 2count | 1032sum
75288: 3unique | 5count | 3146sum
75289: 1unique | 1count | 75289sum
75293: 3unique | 3count | 163sum
75294: 4unique | 5count | 144sum
75295: 3unique | 4count | 90sum
75299: 3unique | 3count | 385sum
75300: 4unique | 6count | 268sum
75301: 2unique | 2count | 550sum
75305: 2unique | 2count | 15066sum
75306: 5unique | 5count | 186sum
75307: 1unique | 1count | 75307sum
75311: 2unique | 2count | 720sum
75312: 3unique | 7count | 537sum
75313: 3unique | 4count | 96sum
75317: 3unique | 3count | 219sum
75318: 3unique | 3count | 12558sum
75319: 2unique | 2count | 800sum
75323: 1unique | 1count | 75323sum
75324: 3unique | 4count | 6284sum
75325: 3unique | 4count | 164sum
75329: 1unique | 1count | 75329sum
75330: 4unique | 8count | 53sum
75331: 2unique | 2count | 1132sum
75335: 4unique | 4count | 98sum
75336: 4unique | 6count | 125sum
75337: 1unique | 1count | 75337sum
75341: 3unique | 3count | 283sum
75342: 4unique | 4count | 467sum
75343: 2unique | 2count | 1336sum
75347: 1unique | 1count | 75347sum
75348: 5unique | 7count | 53sum
75349: 2unique | 2count | 650sum
75353: 1unique | 1count | 75353sum
75354: 4unique | 4count | 685sum
75355: 3unique | 3count | 2165sum
75359: 2unique | 2count | 600sum
75360: 4unique | 8count | 175sum
75361: 4unique | 4count | 72sum
75365: 2unique | 2count | 15078sum
75366: 4unique | 5count | 140sum
75367: 1unique | 1count | 75367sum
75371: 3unique | 3count | 165sum
75372: 4unique | 5count | 589sum
75373: 2unique | 2count | 3986sum
75377: 1unique | 1count | 75377sum
75378: 4unique | 4count | 761sum
75379: 2unique | 2count | 1796sum
75383: 3unique | 4count | 118sum
75384: 3unique | 7count | 364sum
75385: 2unique | 2count | 15082sum
75389: 1unique | 1count | 75389sum
75390: 5unique | 5count | 376sum
75391: 1unique | 1count | 75391sum
75395: 3unique | 3count | 909sum
75396: 4unique | 5count | 171sum
75397: 2unique | 2count | 10778sum
75401: 1unique | 1count | 75401sum
75402: 4unique | 5count | 138sum
75403: 1unique | 1count | 75403sum
75407: 1unique | 1count | 75407sum
75408: 3unique | 6count | 1582sum
75409: 2unique | 2count | 1106sum
75413: 2unique | 2count | 5814sum
75414: 3unique | 3count | 12574sum
75415: 2unique | 2count | 15088sum
75419: 2unique | 2count | 1476sum
75420: 4unique | 6count | 434sum
75421: 2unique | 2count | 578sum
75425: 3unique | 4count | 448sum
75426: 4unique | 4count | 985sum
75427: 2unique | 2count | 6868sum
75431: 1unique | 1count | 75431sum
75432: 4unique | 6count | 465sum
75433: 2unique | 2count | 554sum
75437: 1unique | 1count | 75437sum
75438: 4unique | 6count | 149sum
75439: 3unique | 3count | 849sum
75443: 2unique | 2count | 2076sum
75444: 3unique | 4count | 6294sum
75445: 3unique | 3count | 275sum
75449: 2unique | 4count | 68sum
75450: 4unique | 5count | 518sum
75451: 2unique | 2count | 580sum
75455: 2unique | 2count | 15096sum
75456: 3unique | 9count | 149sum
75457: 2unique | 2count | 1298sum
75461: 2unique | 2count | 1338sum
75462: 3unique | 3count | 12582sum
75463: 3unique | 3count | 233sum
75467: 2unique | 2count | 10788sum
75468: 4unique | 5count | 357sum
75469: 2unique | 2count | 626sum
75473: 2unique | 2count | 1134sum
75474: 4unique | 5count | 614sum
75475: 2unique | 3count | 3029sum
75479: 1unique | 1count | 75479sum
75480: 5unique | 7count | 68sum
75481: 3unique | 3count | 311sum
75485: 3unique | 3count | 523sum
75486: 4unique | 4count | 575sum
75487: 3unique | 3count | 185sum
75491: 2unique | 2count | 5820sum
75492: 3unique | 7count | 249sum
75493: 2unique | 2count | 6874sum
75497: 2unique | 2count | 4458sum
75498: 3unique | 3count | 12588sum
75499: 2unique | 2count | 836sum
75503: 1unique | 1count | 75503sum
75504: 4unique | 8count | 46sum
75505: 2unique | 2count | 15106sum
75509: 3unique | 4count | 104sum
75510: 4unique | 5count | 852sum
75511: 1unique | 1count | 75511sum
75515: 3unique | 3count | 1389sum
75516: 5unique | 6count | 74sum
75517: 3unique | 3count | 207sum
75521: 1unique | 1count | 75521sum
75522: 4unique | 4count | 353sum
75523: 2unique | 2count | 10796sum
75527: 1unique | 1count | 75527sum
75528: 3unique | 6count | 1061sum
75529: 2unique | 2count | 1654sum
75533: 1unique | 1count | 75533sum
75534: 3unique | 3count | 12594sum
75535: 2unique | 2count | 15112sum
75539: 1unique | 1count | 75539sum
75540: 4unique | 5count | 1271sum
75541: 1unique | 1count | 75541sum
75545: 3unique | 3count | 555sum
75546: 3unique | 5count | 1410sum
75547: 2unique | 2count | 2468sum
75551: 3unique | 3count | 301sum
75552: 3unique | 7count | 800sum
75553: 1unique | 1count | 75553sum
75557: 1unique | 1count | 75557sum
75558: 4unique | 5count | 276sum
75559: 2unique | 2count | 6880sum
75563: 3unique | 3count | 157sum
75564: 3unique | 5count | 2109sum
75565: 4unique | 4count | 156sum
75569: 2unique | 2count | 5826sum
75570: 5unique | 5count | 250sum
75571: 1unique | 1count | 75571sum
75575: 2unique | 3count | 3033sum
75576: 4unique | 6count | 123sum
75577: 1unique | 1count | 75577sum
75581: 2unique | 2count | 6882sum
75582: 5unique | 6count | 57sum
75583: 1unique | 1count | 75583sum
75587: 2unique | 2count | 708sum
75588: 3unique | 4count | 6306sum
75589: 2unique | 2count | 550sum
75593: 2unique | 2count | 10806sum
75594: 4unique | 4count | 341sum
75595: 3unique | 3count | 1181sum
75599: 2unique | 2count | 4464sum
75600: 4unique | 10count | 34sum
75601: 3unique | 3count | 215sum
75605: 2unique | 2count | 15126sum
75606: 3unique | 3count | 12606sum
75607: 2unique | 3count | 1557sum
75611: 1unique | 1count | 75611sum
75612: 3unique | 4count | 6308sum
75613: 2unique | 2count | 994sum
75617: 1unique | 1count | 75617sum
75618: 3unique | 4count | 4209sum
75619: 1unique | 1count | 75619sum
75623: 2unique | 2count | 1656sum
75624: 4unique | 6count | 169sum
75625: 2unique | 6count | 42sum
75629: 1unique | 1count | 75629sum
75630: 4unique | 4count | 2531sum
75631: 2unique | 2count | 1480sum
75635: 3unique | 3count | 2173sum
75636: 4unique | 6count | 212sum
75637: 2unique | 2count | 1802sum
