23755: 2count | 2sum
23756: 2count | 3sum
23757: 2count | 2sum
23758: 3count | 3sum
23759: 2count | 2sum
23760: 4count | 9sum
23761: 1count | 1sum
23762: 2count | 3sum
23763: 2count | 3sum
23764: 3count | 4sum
23765: 3count | 4sum
23766: 4count | 4sum
23767: 1count | 1sum
23768: 2count | 4sum
23769: 3count | 4sum
23770: 3count | 3sum
23771: 2count | 2sum
23772: 4count | 5sum
23773: 1count | 1sum
23774: 2count | 2sum
23775: 3count | 4sum
23776: 2count | 6sum
23777: 3count | 3sum
23778: 3count | 4sum
23779: 3count | 3sum
23780: 4count | 5sum
23781: 2count | 2sum
23782: 4count | 4sum
23783: 2count | 2sum
23784: 3count | 5sum
23785: 3count | 3sum
23786: 3count | 3sum
23787: 2count | 4sum
23788: 3count | 4sum
23789: 1count | 1sum
23790: 5count | 5sum
23791: 2count | 2sum
23792: 2count | 5sum
23793: 4count | 4sum
23794: 2count | 2sum
23795: 2count | 2sum
23796: 3count | 5sum
23797: 2count | 2sum
23798: 3count | 3sum
23799: 2count | 2sum
23800: 4count | 7sum
23801: 1count | 1sum
23802: 3count | 3sum
23803: 2count | 2sum
23804: 3count | 4sum
23805: 3count | 5sum
23806: 2count | 2sum
23807: 3count | 3sum
23808: 3count | 10sum
23809: 2count | 2sum
23810: 3count | 3sum
23811: 2count | 2sum
23812: 2count | 3sum
23813: 1count | 1sum
23814: 3count | 8sum
23815: 3count | 3sum
23816: 3count | 5sum
23817: 3count | 3sum
23818: 2count | 2sum
23819: 1count | 1sum
23820: 4count | 5sum
23821: 3count | 3sum
23822: 3count | 3sum
23823: 2count | 3sum
23824: 2count | 5sum
23825: 2count | 3sum
23826: 4count | 5sum
23827: 1count | 1sum
23828: 4count | 5sum
23829: 3count | 4sum
23830: 3count | 3sum
23831: 1count | 1sum
23832: 3count | 6sum
23833: 1count | 1sum
23834: 3count | 3sum
23835: 4count | 4sum
23836: 3count | 4sum
23837: 2count | 3sum
23838: 4count | 4sum
23839: 2count | 2sum
23840: 3count | 7sum
23841: 2count | 4sum
23842: 4count | 4sum
23843: 2count | 2sum
23844: 3count | 4sum
23845: 3count | 3sum
23846: 2count | 2sum
23847: 2count | 2sum
23848: 3count | 5sum
23849: 2count | 2sum
23850: 4count | 6sum
23851: 3count | 3sum
23852: 3count | 4sum
23853: 2count | 2sum
23854: 2count | 2sum
23855: 3count | 3sum
23856: 4count | 7sum
23857: 1count | 1sum
23858: 3count | 3sum
23859: 3count | 4sum
23860: 3count | 4sum
23861: 2count | 2sum
23862: 4count | 4sum
23863: 2count | 3sum
23864: 3count | 5sum
23865: 4count | 4sum
23866: 2count | 2sum
23867: 2count | 2sum
23868: 4count | 7sum
23869: 1count | 1sum
23870: 5count | 5sum
23871: 3count | 3sum
23872: 2count | 7sum
23873: 1count | 1sum
23874: 4count | 4sum
23875: 2count | 4sum
23876: 3count | 4sum
23877: 3count | 4sum
23878: 2count | 2sum
23879: 1count | 1sum
23880: 4count | 6sum
23881: 3count | 3sum
23882: 2count | 2sum
23883: 3count | 3sum
23884: 3count | 4sum
23885: 3count | 3sum
23886: 3count | 4sum
23887: 1count | 1sum
23888: 2count | 5sum
23889: 2count | 2sum
23890: 3count | 3sum
23891: 2count | 2sum
23892: 4count | 5sum
23893: 1count | 1sum
23894: 3count | 3sum
23895: 3count | 6sum
23896: 3count | 5sum
23897: 2count | 2sum
23898: 4count | 4sum
23899: 1count | 1sum
23900: 3count | 5sum
23901: 3count | 3sum
23902: 4count | 4sum
23903: 3count | 3sum
23904: 3count | 8sum
23905: 3count | 3sum
23906: 2count | 2sum
23907: 3count | 3sum
23908: 3count | 4sum
23909: 1count | 1sum
23910: 4count | 4sum
23911: 1count | 1sum
23912: 3count | 6sum
23913: 2count | 3sum
23914: 3count | 3sum
23915: 2count | 2sum
23916: 3count | 4sum
23917: 1count | 1sum
23918: 2count | 2sum
23919: 4count | 4sum
23920: 4count | 7sum
23921: 2count | 2sum
23922: 3count | 5sum
23923: 2count | 2sum
23924: 2count | 3sum
23925: 4count | 5sum
23926: 3count | 3sum
23927: 2count | 2sum
23928: 3count | 5sum
23929: 1count | 1sum
23930: 3count | 3sum
23931: 2count | 3sum
23932: 3count | 4sum
23933: 3count | 3sum
23934: 3count | 3sum
23935: 2count | 2sum
23936: 3count | 9sum
23937: 3count | 3sum
23938: 2count | 2sum
23939: 2count | 2sum
23940: 5count | 7sum
23941: 2count | 2sum
23942: 2count | 2sum
23943: 3count | 3sum
23944: 3count | 5sum
23945: 2count | 2sum
23946: 4count | 4sum
23947: 3count | 3sum
23948: 2count | 3sum
23949: 2count | 4sum
23950: 3count | 4sum
23951: 2count | 2sum
23952: 3count | 6sum
23953: 2count | 2sum
23954: 4count | 4sum
23955: 3count | 3sum
23956: 3count | 4sum
23957: 1count | 1sum
23958: 3count | 6sum
23959: 3count | 3sum
23960: 3count | 5sum
23961: 3count | 4sum
23962: 2count | 2sum
23963: 2count | 2sum
23964: 3count | 4sum
23965: 2count | 2sum
23966: 3count | 3sum
23967: 2count | 3sum
23968: 3count | 7sum
23969: 2count | 2sum
23970: 5count | 5sum
23971: 1count | 1sum
23972: 3count | 4sum
23973: 3count | 3sum
23974: 2count | 2sum
23975: 3count | 4sum
23976: 3count | 8sum
23977: 1count | 1sum
23978: 3count | 3sum
23979: 2count | 2sum
23980: 4count | 5sum
23981: 1count | 1sum
23982: 4count | 4sum
23983: 2count | 2sum
23984: 2count | 5sum
23985: 4count | 5sum
23986: 3count | 3sum
23987: 2count | 3sum
23988: 3count | 4sum
23989: 3count | 3sum
23990: 3count | 3sum
23991: 3count | 3sum
23992: 2count | 4sum
23993: 1count | 1sum
23994: 4count | 5sum
23995: 2count | 2sum
23996: 3count | 4sum
23997: 3count | 3sum
23998: 3count | 4sum
23999: 2count | 2sum
24000: 3count | 10sum
24001: 1count | 1sum
24002: 3count | 3sum
24003: 3count | 5sum
24004: 3count | 4sum
24005: 2count | 2sum
24006: 3count | 3sum
24007: 1count | 1sum
24008: 2count | 4sum
24009: 3count | 3sum
24010: 3count | 6sum
24011: 2count | 2sum
24012: 4count | 6sum
24013: 3count | 3sum
24014: 2count | 2sum
24015: 3count | 3sum
24016: 3count | 6sum
24017: 3count | 3sum
24018: 3count | 3sum
24019: 1count | 1sum
24020: 3count | 4sum
24021: 3count | 4sum
24022: 2count | 2sum
24023: 1count | 1sum
24024: 5count | 7sum
24025: 2count | 4sum
24026: 3count | 3sum
24027: 2count | 2sum
24028: 2count | 3sum
24029: 1count | 1sum
24030: 4count | 6sum
24031: 2count | 2sum
24032: 2count | 6sum
24033: 2count | 2sum
24034: 3count | 3sum
24035: 4count | 4sum
24036: 3count | 4sum
24037: 2count | 3sum
24038: 4count | 4sum
24039: 2count | 3sum
24040: 3count | 5sum
24041: 2count | 2sum
24042: 3count | 3sum
24043: 1count | 1sum
24044: 2count | 3sum
24045: 4count | 4sum
24046: 3count | 3sum
24047: 2count | 2sum
24048: 3count | 7sum
24049: 1count | 1sum
24050: 4count | 5sum
24051: 2count | 2sum
24052: 3count | 4sum
24053: 2count | 2sum
24054: 4count | 4sum
24055: 3count | 3sum
24056: 3count | 5sum
24057: 2count | 8sum
24058: 3count | 3sum
24059: 2count | 3sum
24060: 4count | 5sum
24061: 1count | 1sum
24062: 3count | 3sum
24063: 3count | 3sum
24064: 2count | 10sum
24065: 2count | 2sum
24066: 4count | 5sum
24067: 2count | 2sum
24068: 3count | 4sum
24069: 3count | 3sum
24070: 4count | 4sum
24071: 1count | 1sum
24072: 4count | 6sum
24073: 3count | 3sum
24074: 2count | 2sum
24075: 3count | 5sum
24076: 3count | 4sum
24077: 1count | 1sum
24078: 3count | 3sum
24079: 2count | 3sum
24080: 4count | 7sum
24081: 3count | 3sum
24082: 2count | 2sum
24083: 1count | 1sum
24084: 3count | 6sum
24085: 2count | 2sum
24086: 2count | 2sum
24087: 4count | 4sum
24088: 2count | 4sum
24089: 3count | 3sum
24090: 5count | 5sum
24091: 1count | 1sum
24092: 3count | 4sum
24093: 2count | 3sum
24094: 3count | 3sum
24095: 3count | 3sum
24096: 3count | 7sum
24097: 1count | 1sum
24098: 2count | 2sum
24099: 3count | 3sum
24100: 3count | 5sum
24101: 3count | 3sum
24102: 4count | 5sum
24103: 1count | 1sum
24104: 3count | 5sum
24105: 3count | 3sum
24106: 3count | 3sum
24107: 1count | 1sum
24108: 4count | 6sum
24109: 1count | 1sum
24110: 3count | 3sum
24111: 3count | 5sum
24112: 3count | 6sum
24113: 1count | 1sum
24114: 3count | 3sum
24115: 4count | 4sum
24116: 2count | 3sum
24117: 2count | 2sum
24118: 3count | 3sum
24119: 2count | 2sum
24120: 4count | 7sum
24121: 1count | 1sum
24122: 3count | 3sum
24123: 4count | 4sum
24124: 3count | 4sum
24125: 2count | 4sum
24126: 3count | 3sum
24127: 2count | 2sum
24128: 3count | 8sum
24129: 3count | 4sum
24130: 4count | 4sum
24131: 2count | 2sum
24132: 3count | 4sum
24133: 1count | 1sum
24134: 3count | 3sum
24135: 3count | 3sum
24136: 3count | 5sum
24137: 1count | 1sum
24138: 3count | 6sum
24139: 2count | 2sum
24140: 4count | 5sum
24141: 3count | 3sum
24142: 2count | 2sum
24143: 2count | 2sum
24144: 3count | 6sum
24145: 3count | 3sum
24146: 2count | 2sum
24147: 2count | 3sum
24148: 2count | 3sum
24149: 3count | 3sum
24150: 5count | 6sum
24151: 1count | 1sum
24152: 2count | 4sum
24153: 3count | 3sum
24154: 3count | 3sum
24155: 2count | 2sum
24156: 4count | 6sum
24157: 3count | 4sum
24158: 3count | 3sum
24159: 2count | 2sum
24160: 3count | 7sum
24161: 2count | 2sum
24162: 3count | 3sum
24163: 2count | 2sum
24164: 3count | 4sum
24165: 3count | 5sum
24166: 3count | 3sum
24167: 2count | 4sum
24168: 4count | 6sum
24169: 1count | 1sum
24170: 3count | 3sum
24171: 3count | 3sum
24172: 2count | 3sum
24173: 2count | 2sum
24174: 4count | 5sum
24175: 2count | 3sum
