2: 1uniques | 1count | -842150451sum
3: 1uniques | 1count | 0sum
4: 1uniques | 2count | 4sum
5: 1uniques | 1count | 0sum
6: 2uniques | 2count | 5sum
7: 1uniques | 1count | 0sum
8: 1uniques | 3count | 6sum
9: 1uniques | 2count | 6sum
10: 2uniques | 2count | 7sum
11: 1uniques | 1count | 0sum
12: 2uniques | 3count | 7sum
13: 1uniques | 1count | 0sum
14: 2uniques | 2count | 9sum
15: 2uniques | 2count | 8sum
16: 1uniques | 4count | 8sum
17: 1uniques | 1count | 0sum
18: 2uniques | 3count | 8sum
19: 1uniques | 1count | 0sum
20: 2uniques | 3count | 9sum
21: 2uniques | 2count | 10sum
22: 2uniques | 2count | 13sum
23: 1uniques | 1count | 0sum
24: 2uniques | 4count | 9sum
25: 1uniques | 2count | 10sum
26: 2uniques | 2count | 15sum
27: 1uniques | 3count | 9sum
28: 2uniques | 3count | 11sum
29: 1uniques | 1count | 0sum
30: 3uniques | 3count | 10sum
31: 1uniques | 1count | 0sum
32: 1uniques | 5count | 10sum
33: 2uniques | 2count | 14sum
34: 2uniques | 2count | 19sum
35: 2uniques | 2count | 12sum
36: 2uniques | 4count | 10sum
37: 1uniques | 1count | 0sum
38: 2uniques | 2count | 21sum
39: 2uniques | 2count | 16sum
40: 2uniques | 4count | 11sum
41: 1uniques | 1count | 0sum
42: 3uniques | 3count | 12sum
43: 1uniques | 1count | 0sum
44: 2uniques | 3count | 15sum
45: 2uniques | 3count | 11sum
46: 2uniques | 2count | 25sum
47: 1uniques | 1count | 0sum
48: 2uniques | 5count | 11sum
49: 1uniques | 2count | 14sum
50: 2uniques | 3count | 12sum
51: 2uniques | 2count | 20sum
52: 2uniques | 3count | 17sum
53: 1uniques | 1count | 0sum
54: 2uniques | 4count | 11sum
55: 2uniques | 2count | 16sum
56: 2uniques | 4count | 13sum
57: 2uniques | 2count | 22sum
58: 2uniques | 2count | 31sum
59: 1uniques | 1count | 0sum
60: 3uniques | 4count | 12sum
61: 1uniques | 1count | 0sum
62: 2uniques | 2count | 33sum
63: 2uniques | 3count | 13sum
