18002: 2uniques | 2count | 9003sum
18003: 3uniques | 3count | 373sum
18004: 3uniques | 4count | 654sum
18005: 3uniques | 3count | 295sum
18006: 3uniques | 3count | 3006sum
18007: 2uniques | 2count | 1648sum
18008: 2uniques | 4count | 2257sum
18009: 3uniques | 5count | 61sum
18010: 3uniques | 3count | 1808sum
18011: 3uniques | 3count | 121sum
18012: 4uniques | 5count | 105sum
18013: 1uniques | 1count | 0sum
18014: 2uniques | 2count | 9009sum
18015: 3uniques | 3count | 1209sum
18016: 2uniques | 6count | 573sum
18017: 2uniques | 2count | 462sum
18018: 5uniques | 6count | 39sum
18019: 2uniques | 2count | 524sum
18020: 4uniques | 5count | 79sum
18021: 2uniques | 2count | 6010sum
18022: 2uniques | 2count | 9013sum
18023: 2uniques | 2count | 336sum
18024: 3uniques | 5count | 760sum
18025: 3uniques | 4count | 120sum
18026: 2uniques | 2count | 9015sum
18027: 2uniques | 3count | 2009sum
18028: 2uniques | 3count | 4511sum
18029: 2uniques | 3count | 171sum
18030: 4uniques | 4count | 611sum
18031: 3uniques | 3count | 105sum
18032: 3uniques | 7count | 45sum
18033: 2uniques | 2count | 6014sum
18034: 3uniques | 3count | 200sum
18035: 2uniques | 2count | 3612sum
18036: 3uniques | 6count | 180sum
18037: 2uniques | 2count | 1078sum
18038: 3uniques | 3count | 342sum
18039: 3uniques | 3count | 869sum
18040: 4uniques | 6count | 63sum
18041: 1uniques | 1count | 0sum
18042: 4uniques | 4count | 133sum
18043: 1uniques | 1count | 0sum
18044: 3uniques | 4count | 364sum
18045: 3uniques | 4count | 412sum
18046: 3uniques | 3count | 1298sum
18047: 1uniques | 1count | 0sum
18048: 3uniques | 9count | 64sum
18049: 1uniques | 1count | 0sum
18050: 3uniques | 5count | 50sum
18051: 3uniques | 3count | 561sum
18052: 2uniques | 3count | 4517sum
18053: 2uniques | 2count | 2586sum
18054: 4uniques | 5count | 84sum
18055: 3uniques | 3count | 185sum
18056: 3uniques | 5count | 104sum
18057: 3uniques | 3count | 479sum
18058: 2uniques | 2count | 9031sum
18059: 1uniques | 1count | 0sum
18060: 5uniques | 6count | 62sum
18061: 1uniques | 1count | 0sum
18062: 3uniques | 3count | 834sum
18063: 2uniques | 5count | 235sum
18064: 2uniques | 5count | 1137sum
18065: 2uniques | 2count | 3618sum
18066: 3uniques | 3count | 3016sum
18067: 3uniques | 3count | 125sum
18068: 2uniques | 3count | 4521sum
18069: 3uniques | 3count | 339sum
18070: 4uniques | 4count | 159sum
18071: 2uniques | 2count | 1080sum
18072: 3uniques | 6count | 263sum
18073: 3uniques | 3count | 95sum
18074: 3uniques | 3count | 1300sum
18075: 3uniques | 4count | 254sum
18076: 2uniques | 3count | 4523sum
18077: 1uniques | 1count | 0sum
18078: 4uniques | 4count | 159sum
18079: 2uniques | 2count | 280sum
18080: 3uniques | 7count | 128sum
18081: 3uniques | 5count | 61sum
18082: 2uniques | 2count | 9043sum
18083: 2uniques | 3count | 133sum
18084: 4uniques | 5count | 155sum
18085: 2uniques | 2count | 3622sum
18086: 2uniques | 2count | 9045sum
18087: 2uniques | 2count | 6032sum
18088: 4uniques | 6count | 49sum
18089: 1uniques | 1count | 0sum
18090: 4uniques | 6count | 83sum
18091: 2uniques | 2count | 308sum
18092: 2uniques | 3count | 4527sum
18093: 3uniques | 3count | 203sum
18094: 3uniques | 3count | 194sum
18095: 4uniques | 4count | 70sum
18096: 4uniques | 7count | 53sum
18097: 1uniques | 1count | 0sum
18098: 2uniques | 2count | 9051sum
18099: 2uniques | 3count | 2017sum
18100: 3uniques | 5count | 195sum
18101: 2uniques | 2count | 810sum
18102: 4uniques | 4count | 443sum
18103: 2uniques | 2count | 464sum
18104: 3uniques | 5count | 110sum
18105: 4uniques | 4count | 96sum
18106: 3uniques | 3count | 836sum
18107: 2uniques | 2count | 972sum
18108: 3uniques | 5count | 513sum
18109: 3uniques | 3count | 219sum
18110: 3uniques | 3count | 1818sum
18111: 2uniques | 2count | 6040sum
18112: 2uniques | 7count | 295sum
18113: 2uniques | 2count | 366sum
18114: 3uniques | 3count | 3024sum
18115: 2uniques | 2count | 3628sum
18116: 3uniques | 4count | 658sum
18117: 3uniques | 5count | 81sum
18118: 2uniques | 2count | 9061sum
18119: 1uniques | 1count | 0sum
18120: 4uniques | 6count | 165sum
18121: 1uniques | 1count | 0sum
18122: 4uniques | 4count | 73sum
18123: 3uniques | 3count | 873sum
18124: 3uniques | 4count | 224sum
18125: 2uniques | 5count | 49sum
18126: 4uniques | 5count | 80sum
